id,tweet_url,Date,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified,Tags
9.93E+17,https://twitter.com/commoncentshelp/status/992503718330421248,5/4/2018,2018-05-04 20:38:20+00:00,commoncentshelp,"RT @Suncoolenergy: Temperatures are heating up, make sure that you are utilizing solar energy to keep cool! 

#solar #solarpower #solarenerÉ??",retweet,,solar solarpower,,,0,,,,en,,,5,9.92E+17,Suncoolenergy,9.64E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2808712011,Sun Oct 05 18:33:47 +0000 2014,FALSE,#sharing #smallbusiness #news with the world. Have something you want us to share? #tag us and we will be happy to share it! #business #marketing #biz #share,2799,1837,1921,373,Fort Lauderdale,Common Cents Help,19659,,http://www.commoncentshelp.com,FALSE,Environmental
9.93E+17,https://twitter.com/RiyadhAlrifai/status/992861226404327426,5/5/2018,2018-05-05 20:18:57+00:00,RiyadhAlrifai,"RT @Suncoolenergy: Temperatures are heating up, make sure that you are utilizing solar energy to keep cool! 

#solar #solarpower #solarenerÉ??",retweet,,solar solarpower,,,0,,,,en,,,5,9.92E+17,Suncoolenergy,9.64E+17,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",385840654,Thu Oct 06 06:59:51 +0000 2011,FALSE,,162297,866,389,16,"Benghazi , Libya.",Riyadh AL Rifai,70527,,,FALSE,Environmental
9.93E+17,https://twitter.com/SemanticEarth/status/992859347322535937,5/5/2018,2018-05-05 20:11:29+00:00,SemanticEarth,"RT @Suncoolenergy: Temperatures are heating up, make sure that you are utilizing solar energy to keep cool! 

#solar #solarpower #solarenerÉ??",retweet,,solar solarpower,,,0,,,,en,,,5,9.92E+17,Suncoolenergy,9.64E+17,"<a href=""http://semanticearth.com"" rel=""nofollow"">Promotions Amazon</a>",1063076700,Sat Jan 05 14:11:33 +0000 2013,FALSE,Since 2013 promoting millions of articles in World Topics. We apply machine learning processes to provide you the best content about our World!,4355,20740,17360,2272,Venezuela,???? semanticearth.com,728720,Caracas,http://semanticearth.com,FALSE,Environmental
9.93E+17,https://twitter.com/WEfforts/status/992504236838653954,5/4/2018,2018-05-04 20:40:24+00:00,WEfforts,"RT @Suncoolenergy: Save money on running your pool pump and heater by hooking it up to a solar panel. 

#solar #solarpower #solarenergy #soÉ??",retweet,,solar solarpower solarenergy,,,0,,,,en,,,4,9.92E+17,Suncoolenergy,9.64E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2697269907,Fri Jul 11 02:34:43 +0000 2014,FALSE,A page for small businesses to learn the value and importance of content and social media with sharing and engagement!,2104,39,29,0,"Florida, USA",writing efforts,1635,,,FALSE,Environmental
9.93E+17,https://twitter.com/commoncentshelp/status/992503630606585856,5/4/2018,2018-05-04 20:38:00+00:00,commoncentshelp,"RT @Suncoolenergy: Save money on running your pool pump and heater by hooking it up to a solar panel. 

#solar #solarpower #solarenergy #soÉ??",retweet,,solar solarpower solarenergy,,,0,,,,en,,,4,9.92E+17,Suncoolenergy,9.64E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2808712011,Sun Oct 05 18:33:47 +0000 2014,FALSE,#sharing #smallbusiness #news with the world. Have something you want us to share? #tag us and we will be happy to share it! #business #marketing #biz #share,2799,1837,1921,373,Fort Lauderdale,Common Cents Help,19659,,http://www.commoncentshelp.com,FALSE,Environmental
9.91E+17,https://twitter.com/RodSinstack/status/991396707358380032,5/1/2018,2018-05-01 19:19:28+00:00,RodSinstack,"RT @Suncoolenergy: Another residential job completed

#solar #solarpower #solarenergy #solarpanel #solarpanels #solarworld #energy #ecofrieÉ??",retweet,,solar solarpower solarenergy solarpanel solarpanels solarworld energy,,,0,,,,en,,,1,9.91E+17,Suncoolenergy,9.64E+17,"<a href=""https://sites.google.com/site/appliancerepairinscottsdale/"" rel=""nofollow"">RodSinstackTweets</a>",8.02E+17,Sat Nov 26 09:39:46 +0000 2016,FALSE,"CPA/MS in Financial Planning. Career change to managing father's #ApplianceRepair business. Love my dogs, Buster & Keaton. Volunteer for animal rescues.",4721,1268,829,29,"Scottsdale, AZ",Rod Sinstack,27183,,https://sites.google.com/site/appliancerepairinscottsdale/,FALSE,Environmental
9.92E+17,https://twitter.com/FaZe_BOT/status/992304682918793216,5/4/2018,2018-05-04 07:27:27+00:00,FaZe_BOT,"RT @MinkaWicked: I'm live on Twitch - Watch me at 
Come say hi and support the local streamers 
#SupportSmallStreamers
#GFUEL #FaZeup
#MoneÉ??",retweet,,SupportSmallStreamers GFUEL FaZeup,,,0,,,,en,,FALSE,3,9.92E+17,MinkaWicked,9.89E+17,"<a href=""http://rob.fyi"" rel=""nofollow"">FaZeUpHomiez</a>",7.97E+17,Fri Nov 11 16:04:20 +0000 2016,FALSE,"I'm an automated bot. I RT anything with ""#FaZeUp"" in it. Support: @VIXSgg.",21682,919,0,4,,#FaZeUp,32784,Pacific Time (US & Canada),,FALSE,Promotional/Get Rich Quick
9.92E+17,https://twitter.com/ImLiveRT/status/992303843873443844,5/4/2018,2018-05-04 07:24:07+00:00,ImLiveRT,"RT @MinkaWicked: I'm live on Twitch - Watch me at 
Come say hi and support the local streamers 
#SupportSmallStreamers
#GFUEL #FaZeup
#MoneÉ??",retweet,,SupportSmallStreamers GFUEL FaZeup,,,0,,,,en,,FALSE,3,9.92E+17,MinkaWicked,9.89E+17,"<a href=""http://ImLiveRT.com"" rel=""nofollow"">ImLiveRT</a>",8.57E+17,Tue Apr 25 23:50:27 +0000 2017,FALSE,"Tag @ImLiveRT for retweets of your ""LIVE"" Twitch Streams on https://t.co/Kyu73FngHw + BETA Crypto Mining w/Streamers! https://t.co/lI8oUmpQCR",89,7521,25,33,,ImLiveRT,292679,,https://miningprogram.com,FALSE,Promotional/Get Rich Quick
9.92E+17,https://twitter.com/Augusti87395520/status/992422593847275527,5/4/2018,2018-05-04 15:15:59+00:00,Augusti87395520,"RT @Lottomania_NG: Imagine getting a 25% welcome Bonus on a platform you can make more than you put in your online wallet.???¶
Real #TGIF AWOOÉ??",retweet,,TGIF,,,0,,,,en,,,3,9.92E+17,Lottomania_NG,9.15E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",9.72E+17,Fri Mar 09 12:35:29 +0000 2018,FALSE,,642,9,77,0,"Lekki, Nigeria",Augustin,616,,,FALSE,Promotional/Get Rich Quick
9.92E+17,https://twitter.com/sleekyDiva027/status/992387182169088000,5/4/2018,2018-05-04 12:55:16+00:00,sleekyDiva027,"RT @Lottomania_NG: Imagine getting a 25% welcome Bonus on a platform you can make more than you put in your online wallet.???¶
Real #TGIF AWOOÉ??",retweet,,TGIF,,,0,,,,en,,,3,9.92E+17,Lottomania_NG,9.15E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",495842630,Sat Feb 18 11:07:00 +0000 2012,FALSE,"YouTuber (Frankly Speaking with Glory) Content Creator, Strategic Communicator & Blogger.

My mind is really LOUD ???ü
Happy Listening.
????
gloryeelijah@gmail.com",698,334,347,0,Lagos.,Media_mogule,1899,,https://franklyspeakingwithglory.blogspot.com.ng/2018/04/memoirs-of-pisces-episode-4.html?m=1,FALSE,Promotional/Get Rich Quick
9.93E+17,https://twitter.com/joekaado/status/992654989142233089,5/5/2018,2018-05-05 06:39:26+00:00,joekaado,"RT @Lottomania_NG: Imagine getting a 25% welcome Bonus on a platform you can make more than you put in your online wallet.???¶
Real #TGIF AWOOÉ??",retweet,,TGIF,,,0,,,,en,,,3,9.92E+17,Lottomania_NG,9.15E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",54181057,Mon Jul 06 11:32:56 +0000 2009,FALSE,,440,57,37,0,Ghana,Joe Kaado,328,Monrovia,http://www.chghanaltd.com,FALSE,Promotional/Get Rich Quick
9.92E+17,https://twitter.com/Augusti87395520/status/992422677750181889,5/4/2018,2018-05-04 15:16:19+00:00,Augusti87395520,"RT @Lottomania_NG: Congrats to our #TGIF #winners, Oforho 0813xxx1973 from #Delta &amp; Mary 0806xxx2934 from #Anambra on their N5,000 #win!???¶???èÉ??",retweet,,TGIF winners Delta Anambra win,,,0,,,,en,,,2,9.92E+17,Lottomania_NG,9.15E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",9.72E+17,Fri Mar 09 12:35:29 +0000 2018,FALSE,,642,9,77,0,"Lekki, Nigeria",Augustin,616,,,FALSE,Promotional/Get Rich Quick
9.92E+17,https://twitter.com/sleekyDiva027/status/992372404826640384,5/4/2018,2018-05-04 11:56:33+00:00,sleekyDiva027,"RT @Lottomania_NG: Congrats to our #TGIF #winners, Oforho 0813xxx1973 from #Delta &amp; Mary 0806xxx2934 from #Anambra on their N5,000 #win!???¶???èÉ??",retweet,,TGIF winners Delta Anambra win,,,0,,,,en,,,2,9.92E+17,Lottomania_NG,9.15E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",495842630,Sat Feb 18 11:07:00 +0000 2012,FALSE,"YouTuber (Frankly Speaking with Glory) Content Creator, Strategic Communicator & Blogger.

My mind is really LOUD ???ü
Happy Listening.
????
gloryeelijah@gmail.com",698,334,347,0,Lagos.,Media_mogule,1899,,https://franklyspeakingwithglory.blogspot.com.ng/2018/04/memoirs-of-pisces-episode-4.html?m=1,FALSE,Promotional/Get Rich Quick
9.91E+17,https://twitter.com/Augusti87395520/status/990944209451540481,4/30/2018,2018-04-30 13:21:25+00:00,Augusti87395520,"RT @Lottomania_NG: Happy #tgif #WINNERS!
May the odds be in your favor today!????
So, TAKE CHARGE!

#FridayFeeling #Lottomania #DAILYHAMMER #LÉ??",retweet,,tgif WINNERS FridayFeeling Lottomania DAILYHAMMER,,,0,,,,en,,,3,9.90E+17,Lottomania_NG,9.15E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",9.72E+17,Fri Mar 09 12:35:29 +0000 2018,FALSE,,642,9,77,0,"Lekki, Nigeria",Augustin,616,,,FALSE,Promotional/Get Rich Quick
9.92E+17,https://twitter.com/ReadySetGame3/status/992176620579508224,5/3/2018,2018-05-03 22:58:34+00:00,ReadySetGame3,"RT @Lottomania_NG: Happy #tgif #WINNERS!
May the odds be in your favor today!????
So, TAKE CHARGE!

#FridayFeeling #Lottomania #DAILYHAMMER #LÉ??",retweet,,tgif WINNERS FridayFeeling Lottomania DAILYHAMMER,,,0,,,,en,,,3,9.90E+17,Lottomania_NG,9.15E+17,"<a href=""http://erased14864248.com"" rel=""nofollow"">erased14864248</a>",9.69E+17,Thu Mar 01 00:24:11 +0000 2018,FALSE,Ready set game. Created by @Discovermypath,9,1019,150,37,,ReadySetGame,78581,,,FALSE,Promotional/Get Rich Quick
9.90E+17,https://twitter.com/GreatMarkt/status/990000035449507840,4/27/2018,2018-04-27 22:49:36+00:00,GreatMarkt,"RT @legaltaxdefense: Happy Financial Freedom Friday! call today! 

#tgif #work #learn #financequotes #happy #taxresolution #audit #irs #havÉ??",retweet,,tgif work learn financequotes happy taxresolution audit irs,,,0,,,,en,,,1,9.90E+17,legaltaxdefense,3675681554,"<a href=""https://www.botlibre.com"" rel=""nofollow"">Bot Libre!</a>",9.68E+17,Sun Feb 25 22:17:16 +0000 2018,FALSE,"Enjoy my #retweets hope i pick up some #good tweets.  
Promoting some good things like #games.",519,1880,64,47,Deutschland,GreatMarkt,88572,,http://bit.ly/2p5bXXC,FALSE,Promotional/Get Rich Quick
9.91E+17,https://twitter.com/ReadySetGame3/status/991267803280879616,5/1/2018,2018-05-01 10:47:15+00:00,ReadySetGame3,"RT @Lottomania_NG: #ThursdayMotivation
Dream Big???¶
Set Goals????
Take ACTION!???¶

#GoodMorningWorld #Tbt #Lottomania #DAILYHAMMER #lottery #gameÉ??",retweet,,ThursdayMotivation GoodMorningWorld Tbt Lottomania DAILYHAMMER lottery game,,,0,,,,en,,,4,9.89E+17,Lottomania_NG,9.15E+17,"<a href=""http://erased14864248.com"" rel=""nofollow"">erased14864248</a>",9.69E+17,Thu Mar 01 00:24:11 +0000 2018,FALSE,Ready set game. Created by @Discovermypath,9,1019,150,37,,ReadySetGame,78582,,,FALSE,Promotional/Get Rich Quick
